label,left_elbow,right_elbow,left_knee,right_knee,shoulder_distance,left_arm_length,right_arm_length
no_exercise,136.36,131.37,135.41,162.69,0.3568,0.5856,0.7616
no_exercise,136.44,127.35,135.07,160.35,0.3619,0.579,0.7588
no_exercise,135.81,127.97,135.55,159.7,0.3382,0.5846,0.7299
no_exercise,135.68,124.29,137.63,163.74,0.3153,0.589,0.7347
no_exercise,135.76,131.76,140.83,160.69,0.3066,0.5856,0.7161
no_exercise,136.68,132.78,142.57,159.31,0.2949,0.5847,0.6951
no_exercise,136.0,135.55,143.85,158.84,0.288,0.5768,0.6349
no_exercise,136.1,135.14,143.49,155.41,0.2909,0.5739,0.6146
no_exercise,133.67,134.12,143.82,155.83,0.2934,0.5693,0.6122
no_exercise,131.56,134.05,143.85,155.49,0.297,0.5743,0.6063
no_exercise,128.48,133.72,144.26,155.7,0.2961,0.5689,0.6048
no_exercise,129.51,133.37,144.53,156.06,0.2946,0.562,0.6091
no_exercise,126.25,134.8,143.78,155.57,0.293,0.5647,0.604
no_exercise,123.87,139.36,143.97,156.71,0.2829,0.534,0.6454
no_exercise,120.87,138.69,145.63,157.4,0.2792,0.5587,0.6464
no_exercise,126.81,138.7,146.32,157.56,0.2771,0.6069,0.6543
no_exercise,128.04,138.82,145.77,157.27,0.2738,0.5645,0.6421
no_exercise,128.97,135.4,150.81,161.35,0.27,0.6246,0.8539
no_exercise,129.31,136.46,151.21,162.02,0.2686,0.6374,0.8309
no_exercise,131.11,135.41,151.49,162.54,0.2642,0.6669,0.8926
no_exercise,131.32,136.73,148.68,159.77,0.2619,0.6655,0.9225
no_exercise,119.77,136.32,149.34,163.01,0.2583,0.6734,0.9059
no_exercise,117.82,137.56,148.43,161.07,0.2592,0.7165,0.9527
no_exercise,113.71,140.21,155.42,171.93,0.2578,0.6645,0.906
no_exercise,114.44,139.28,154.01,171.19,0.259,0.6687,0.8875
no_exercise,114.01,139.45,153.72,170.05,0.2533,0.6961,0.8972
no_exercise,114.06,139.44,152.85,170.49,0.2524,0.6776,0.894
no_exercise,113.57,139.02,151.63,168.86,0.2517,0.6812,0.9259
no_exercise,112.23,139.08,151.46,168.19,0.2513,0.679,0.9415
no_exercise,110.28,135.16,154.64,171.52,0.2524,0.7028,0.9124
no_exercise,107.84,132.51,155.24,171.88,0.2462,0.7019,0.9113
no_exercise,106.84,130.81,154.95,172.12,0.2487,0.7189,0.9351
no_exercise,107.06,130.4,154.08,171.93,0.2468,0.7197,0.9294
no_exercise,107.15,131.38,154.54,171.16,0.2467,0.7348,0.939
no_exercise,107.67,130.76,154.28,170.52,0.2463,0.7304,0.9298
no_exercise,105.51,128.93,154.26,170.2,0.2422,0.7208,0.9202
no_exercise,104.8,126.08,154.52,170.96,0.2404,0.7019,0.8865
no_exercise,106.11,125.13,153.51,170.14,0.239,0.6963,0.8936
no_exercise,106.67,125.95,150.73,167.71,0.2394,0.6905,0.9211
no_exercise,112.98,131.46,147.66,162.35,0.2467,0.7296,0.9542
no_exercise,114.06,132.95,146.68,160.71,0.25,0.7418,0.9849
no_exercise,111.39,135.12,146.7,160.82,0.2497,0.7189,0.994
no_exercise,116.4,136.55,145.69,160.67,0.2521,0.7732,0.9908
no_exercise,122.07,138.06,146.33,158.53,0.2558,0.7945,0.9534
no_exercise,125.36,138.03,146.71,158.44,0.2578,0.8277,0.9333
no_exercise,122.07,136.82,148.73,160.24,0.2571,0.8021,0.8881
no_exercise,121.66,135.33,146.15,159.65,0.2577,0.8333,0.9095
no_exercise,123.1,132.68,143.27,152.78,0.2667,0.8844,0.8988
no_exercise,119.85,131.2,147.6,151.4,0.2634,0.861,0.9436
no_exercise,119.32,132.47,145.58,152.83,0.2695,0.8266,0.9462
no_exercise,118.45,134.21,147.58,155.19,0.2682,0.8184,0.962
no_exercise,119.0,125.41,148.64,156.81,0.2732,0.8171,0.8586
no_exercise,119.23,119.26,147.23,156.81,0.2706,0.7956,0.8121
no_exercise,119.51,124.22,148.03,157.47,0.2702,0.7803,0.8486
no_exercise,116.97,125.02,147.66,156.51,0.2689,0.778,0.859
no_exercise,113.95,121.53,146.71,152.08,0.2694,0.7975,0.8879
no_exercise,113.81,121.35,146.73,154.18,0.2741,0.8165,0.8929
no_exercise,113.63,119.82,147.55,155.14,0.2754,0.8152,0.8636
no_exercise,114.75,118.63,147.33,156.46,0.2774,0.8073,0.8299
no_exercise,114.98,116.95,147.29,156.08,0.2795,0.7984,0.8343
no_exercise,116.48,117.5,145.28,152.79,0.2802,0.7908,0.8466
no_exercise,115.17,123.3,144.53,152.94,0.2768,0.7698,0.8678
no_exercise,116.03,121.97,143.52,153.29,0.2769,0.7822,0.8535
no_exercise,115.88,121.62,143.69,150.71,0.2773,0.7888,0.8736
no_exercise,113.83,120.84,141.85,149.25,0.2751,0.7701,0.8678
no_exercise,113.02,121.11,142.15,150.32,0.2743,0.7792,0.8887
no_exercise,112.36,120.89,141.13,149.0,0.2742,0.7902,0.8961
no_exercise,113.78,120.79,141.56,148.73,0.2748,0.8166,0.9202
no_exercise,115.48,121.15,142.83,150.26,0.276,0.8203,0.9124
no_exercise,114.08,123.83,144.79,150.9,0.2765,0.8135,0.9393
no_exercise,112.97,124.25,145.42,152.49,0.2802,0.8106,0.9437
no_exercise,112.01,124.56,145.86,152.98,0.2805,0.8083,0.9429
no_exercise,112.17,123.09,145.86,153.36,0.2808,0.8085,0.9182
no_exercise,112.14,121.2,145.85,153.6,0.2804,0.816,0.8902
no_exercise,111.93,120.75,146.13,153.99,0.2806,0.8161,0.9003
no_exercise,112.69,120.57,147.22,155.67,0.2789,0.8214,0.8772
no_exercise,112.43,118.55,148.79,157.78,0.2784,0.8193,0.8615
no_exercise,112.7,119.99,149.44,157.95,0.2814,0.8228,0.8796
no_exercise,112.0,120.21,149.82,156.78,0.2863,0.821,0.9084
no_exercise,112.43,122.32,149.18,157.78,0.2905,0.8177,0.974
no_exercise,112.87,124.53,145.91,162.33,0.3112,0.8393,1.0253
no_exercise,112.18,123.14,144.28,161.75,0.3075,0.8341,1.0254
no_exercise,107.85,120.97,144.59,162.85,0.3022,0.8225,1.0278
no_exercise,104.79,118.48,144.59,162.19,0.2958,0.8188,1.0169
no_exercise,103.36,119.59,143.51,161.12,0.303,0.8143,1.0159
no_exercise,104.61,118.59,143.25,160.37,0.2945,0.8697,1.0027
no_exercise,104.89,117.73,143.24,160.25,0.2942,0.8761,0.9982
no_exercise,105.87,116.14,141.82,159.97,0.2893,0.8999,1.0107
no_exercise,109.57,117.42,141.08,159.85,0.286,0.9321,1.0288
no_exercise,108.17,119.64,141.04,159.81,0.2828,0.9201,1.0492
no_exercise,108.49,120.79,140.11,158.67,0.2792,0.9205,1.063
no_exercise,110.62,118.57,137.91,157.83,0.2803,0.9374,1.0453
no_exercise,112.08,118.69,136.02,156.8,0.284,0.9566,1.0448
no_exercise,107.66,117.18,138.03,156.38,0.2856,0.9267,1.0323
no_exercise,106.79,115.5,138.8,157.91,0.2848,0.9139,1.0014
no_exercise,106.22,116.34,139.81,160.83,0.2878,0.9145,1.0049
no_exercise,105.71,116.22,140.3,161.7,0.2873,0.9025,1.0061
no_exercise,103.92,116.83,140.28,162.39,0.2869,0.8728,1.0107
no_exercise,105.2,119.26,139.98,161.82,0.2907,0.8763,1.0474
no_exercise,105.65,120.59,139.72,161.74,0.2889,0.8807,1.0781
no_exercise,106.69,120.78,139.16,162.07,0.289,0.8833,1.0783
no_exercise,108.13,120.88,138.62,161.87,0.288,0.9021,1.0773
no_exercise,108.11,120.82,139.2,162.15,0.2863,0.9109,1.0802
no_exercise,107.39,120.31,138.81,161.98,0.2875,0.9089,1.0804
no_exercise,104.21,118.4,137.5,158.93,0.2944,0.8782,1.0699
no_exercise,103.64,117.53,138.18,157.44,0.2917,0.877,1.0636
no_exercise,103.08,116.77,138.76,157.02,0.2904,0.8722,1.0532
no_exercise,102.98,115.33,139.39,157.84,0.2907,0.873,1.0357
no_exercise,104.15,115.21,139.43,156.83,0.2913,0.8891,1.0348
no_exercise,106.24,117.49,138.83,159.76,0.3,0.909,1.0657
no_exercise,107.14,117.93,138.4,159.82,0.2986,0.9254,1.071
no_exercise,106.62,116.68,138.9,161.23,0.2924,0.9412,1.0557
no_exercise,104.21,114.19,139.51,162.26,0.2932,0.9285,1.0307
no_exercise,102.78,113.04,140.75,162.39,0.2936,0.9162,1.0258
no_exercise,103.9,111.53,139.6,162.99,0.2967,0.9286,1.0001
no_exercise,101.52,107.93,138.85,162.31,0.3016,0.8981,0.9512
no_exercise,94.6,107.5,137.99,164.23,0.3001,0.8393,0.9541
no_exercise,92.41,105.9,139.47,165.51,0.2963,0.8166,0.9367
no_exercise,86.76,103.98,140.5,168.04,0.2975,0.7804,0.9204
no_exercise,90.68,104.35,140.79,169.07,0.2944,0.8115,0.9356
no_exercise,92.48,105.98,140.23,170.92,0.2917,0.819,0.9404
no_exercise,92.76,105.81,142.18,171.21,0.2903,0.8187,0.935
no_exercise,91.81,104.75,142.33,171.6,0.2915,0.8114,0.9192
no_exercise,93.18,105.24,142.05,171.58,0.2907,0.8211,0.9209
no_exercise,91.08,104.31,142.1,170.98,0.2893,0.8029,0.9111
no_exercise,87.49,102.16,142.19,168.41,0.2888,0.7628,0.8857
no_exercise,86.72,100.37,142.86,166.47,0.2856,0.7423,0.867
no_exercise,94.66,100.55,141.42,162.4,0.2805,0.7056,0.823
no_exercise,99.48,104.32,142.08,160.22,0.2795,0.7006,0.8327
no_exercise,98.1,106.33,142.57,159.36,0.2798,0.6822,0.8401
no_exercise,97.89,105.69,141.53,159.02,0.2803,0.6627,0.8164
no_exercise,98.0,106.53,141.46,158.66,0.2806,0.6589,0.8222
no_exercise,96.0,108.98,141.42,159.21,0.2816,0.6466,0.8168
no_exercise,99.2,111.99,143.08,159.19,0.2793,0.6301,0.8057
no_exercise,100.67,116.27,142.33,158.59,0.2788,0.6376,0.8423
no_exercise,95.75,116.74,141.65,158.71,0.2792,0.6198,0.8451
no_exercise,90.84,114.35,140.88,157.6,0.2784,0.5941,0.8172
no_exercise,91.52,113.48,140.75,155.58,0.2775,0.5933,0.8131
no_exercise,89.49,112.64,141.4,157.59,0.2764,0.5829,0.8015
no_exercise,92.22,112.52,141.62,158.12,0.2754,0.5928,0.8034
no_exercise,94.24,111.65,140.73,157.37,0.2751,0.6027,0.7862
no_exercise,96.78,110.03,140.44,155.96,0.2735,0.6143,0.7668
no_exercise,93.73,112.91,141.68,158.28,0.2726,0.6029,0.7837
no_exercise,93.77,112.12,143.97,160.62,0.2689,0.5958,0.7673
no_exercise,93.25,113.73,143.69,158.58,0.2676,0.5921,0.7762
no_exercise,95.03,113.92,143.59,157.72,0.2658,0.5974,0.7747
no_exercise,95.5,113.68,143.29,156.76,0.2654,0.5961,0.7686
no_exercise,94.24,112.88,142.28,156.82,0.2655,0.5862,0.7586
no_exercise,96.12,113.73,142.27,156.81,0.2661,0.5971,0.7647
no_exercise,98.97,113.8,142.07,155.71,0.2662,0.6112,0.7601
no_exercise,104.28,118.58,141.41,154.92,0.266,0.6465,0.8063
no_exercise,102.85,116.9,141.64,154.95,0.2654,0.6347,0.788
no_exercise,105.04,119.19,142.22,154.46,0.2651,0.6517,0.8219
no_exercise,103.25,109.33,141.95,152.27,0.2653,0.6401,0.7247
no_exercise,100.84,101.61,142.77,154.86,0.2679,0.6266,0.6068
no_exercise,100.73,82.92,143.64,158.04,0.2747,0.6245,0.4863
no_exercise,100.5,82.54,143.38,157.95,0.2786,0.6261,0.4705
no_exercise,106.78,84.4,141.37,159.82,0.2778,0.6795,0.4714
no_exercise,128.2,106.38,145.18,159.24,0.2745,0.9205,0.4738
no_exercise,131.08,109.01,146.34,158.0,0.2741,0.9736,0.4795
no_exercise,132.1,107.58,144.88,156.32,0.2711,0.9957,0.4767
no_exercise,132.53,106.33,143.83,156.18,0.2706,1.0,0.4758
no_exercise,133.16,109.14,143.63,155.68,0.2723,1.0102,0.47
no_exercise,133.76,113.75,141.48,152.79,0.2741,1.0276,0.4812
no_exercise,133.57,112.88,141.4,154.41,0.2759,1.0262,0.5022
no_exercise,133.2,115.81,141.99,154.8,0.275,1.0156,0.4967
no_exercise,132.63,117.55,143.29,152.34,0.2758,1.0027,0.4985
no_exercise,133.05,120.48,144.24,153.43,0.2759,1.0116,0.4955
no_exercise,132.01,113.43,145.51,158.03,0.2738,0.9893,0.4938
no_exercise,131.49,112.26,143.25,156.53,0.2738,0.98,0.5093
no_exercise,130.89,110.12,141.53,154.36,0.2749,0.9721,0.5079
no_exercise,129.98,107.32,142.49,155.39,0.2759,0.9492,0.497
no_exercise,128.55,106.1,142.46,156.21,0.2775,0.9248,0.4728
no_exercise,129.96,104.48,142.9,158.91,0.2792,0.9473,0.4696
no_exercise,120.14,87.21,143.35,157.83,0.2928,0.8054,0.5081
no_exercise,116.72,80.0,143.7,157.61,0.2953,0.7761,0.505
no_exercise,116.31,93.8,144.8,160.15,0.3055,0.7716,0.5765
no_exercise,111.11,91.15,146.14,159.88,0.3031,0.7224,0.5788
no_exercise,112.84,95.78,147.17,159.04,0.2949,0.744,0.6038
no_exercise,114.54,114.76,146.67,159.13,0.2898,0.7643,0.7615
no_exercise,112.16,115.19,145.81,157.43,0.2823,0.747,0.7922
no_exercise,112.37,118.69,145.91,157.66,0.2774,0.7548,0.8681
no_exercise,108.08,116.61,146.89,157.7,0.2784,0.7215,0.8497
no_exercise,110.5,118.68,145.86,157.33,0.2794,0.7472,0.8811
no_exercise,104.17,116.58,144.23,158.1,0.28,0.6991,0.8567
no_exercise,104.0,116.33,142.81,156.66,0.2786,0.6982,0.8492
no_exercise,97.12,116.17,143.3,158.2,0.278,0.6507,0.8415
no_exercise,99.75,116.15,143.64,157.97,0.2786,0.6629,0.839
no_exercise,101.33,117.24,144.79,156.81,0.2802,0.6469,0.8564
no_exercise,101.94,119.47,146.02,156.16,0.2866,0.6428,0.8867
no_exercise,100.02,118.58,146.38,155.99,0.2934,0.6326,0.8763
no_exercise,104.39,114.64,146.69,155.86,0.2967,0.6484,0.8292
no_exercise,96.61,100.94,143.47,154.2,0.3063,0.5483,0.713
no_exercise,96.08,88.0,141.93,153.43,0.3096,0.5383,0.6446
no_exercise,92.37,89.03,139.68,152.31,0.3174,0.528,0.6376
no_exercise,93.39,91.53,139.59,152.57,0.3195,0.5303,0.6447
no_exercise,92.48,89.95,138.81,151.67,0.3267,0.5326,0.631
no_exercise,95.37,96.24,140.14,151.82,0.3266,0.5483,0.6624
no_exercise,95.66,100.78,141.82,146.48,0.3224,0.5357,0.6854
no_exercise,116.76,111.99,143.05,145.89,0.3098,0.7345,0.7724
no_exercise,126.01,116.85,143.8,148.62,0.3014,0.8597,0.8233
no_exercise,113.73,112.34,146.09,152.47,0.2981,0.7389,0.7785
no_exercise,107.25,108.3,146.51,155.05,0.2896,0.6957,0.7417
no_exercise,106.05,111.83,147.22,155.76,0.2824,0.7059,0.7723
no_exercise,106.63,117.74,145.85,156.99,0.2803,0.7058,0.8364
no_exercise,102.02,114.62,144.39,157.3,0.2803,0.7013,0.8062
no_exercise,101.39,118.17,143.65,161.24,0.279,0.7136,0.8526
no_exercise,101.71,117.16,142.87,160.5,0.2799,0.7191,0.8441
no_exercise,102.3,116.36,142.92,159.88,0.2803,0.7252,0.8371
no_exercise,102.79,113.1,143.13,159.08,0.2804,0.7295,0.8054
no_exercise,100.77,112.44,143.39,159.27,0.2803,0.7127,0.7996
no_exercise,99.97,112.65,144.11,160.74,0.2798,0.7083,0.8052
no_exercise,99.8,112.93,144.45,160.97,0.2804,0.7052,0.8083
no_exercise,94.94,111.73,144.56,162.13,0.2796,0.6938,0.8037
no_exercise,92.88,109.65,145.04,162.52,0.2771,0.711,0.8233
no_exercise,90.72,106.97,145.59,162.48,0.276,0.7022,0.8451
no_exercise,90.36,106.04,145.17,162.13,0.2754,0.6849,0.8555
no_exercise,88.55,106.34,143.87,162.78,0.2766,0.6873,0.8854
no_exercise,96.14,113.46,143.9,164.36,0.2833,0.8515,1.0102
no_exercise,93.52,112.09,142.47,160.5,0.2879,0.8426,0.9817
no_exercise,98.19,114.48,139.65,154.84,0.2891,0.8884,1.0368
no_exercise,111.5,123.99,136.35,150.2,0.2908,0.9932,1.1711
no_exercise,113.49,123.49,137.53,150.05,0.2891,1.0039,1.1514
no_exercise,115.91,127.99,139.86,151.16,0.2812,0.9865,1.0636
no_exercise,104.39,120.9,144.38,161.64,0.2915,0.747,0.9345
no_exercise,105.89,118.53,140.28,165.3,0.3041,0.6938,0.8559
no_exercise,109.18,119.59,135.6,164.03,0.3059,0.6448,0.7846
no_exercise,113.82,121.78,135.39,166.92,0.3088,0.6257,0.7483
no_exercise,114.77,114.74,132.21,169.06,0.2847,0.5914,0.6152
no_exercise,114.15,111.06,131.61,164.48,0.288,0.6068,0.6243
no_exercise,116.6,113.26,134.07,161.15,0.2855,0.6049,0.651
no_exercise,115.86,111.8,133.04,160.13,0.2794,0.6049,0.6577
no_exercise,115.92,115.43,132.25,159.68,0.2839,0.6023,0.618
no_exercise,115.63,113.24,131.73,148.2,0.2855,0.6059,0.6101
no_exercise,116.47,115.47,130.67,148.9,0.288,0.6185,0.6382
no_exercise,118.37,114.89,133.47,154.28,0.3048,0.6198,0.6615
no_exercise,118.13,110.22,130.76,157.71,0.3044,0.6081,0.6344
no_exercise,119.57,107.78,132.28,159.65,0.3268,0.603,0.6529
no_exercise,127.81,97.77,126.34,157.4,0.3757,0.6171,0.6393
no_exercise,131.84,104.77,128.51,159.23,0.3777,0.6227,0.6558
no_exercise,138.35,103.9,127.72,156.26,0.3681,0.6555,0.6745
no_exercise,139.78,108.13,127.68,156.1,0.3588,0.638,0.6577
no_exercise,143.62,111.63,125.1,156.84,0.4056,0.6658,0.6987
no_exercise,143.29,114.31,127.03,159.19,0.4095,0.659,0.7049
no_exercise,143.7,110.53,124.07,157.24,0.4315,0.6707,0.7168
no_exercise,143.07,106.03,123.79,158.82,0.4697,0.6687,0.7301
no_exercise,141.92,104.46,123.77,157.34,0.465,0.6702,0.7102
bicep_curl,141.34,105.85,125.23,157.24,0.4511,0.6709,0.6981
bicep_curl,141.43,98.58,124.81,156.84,0.4696,0.6724,0.7054
bicep_curl,141.88,95.31,125.08,155.59,0.4854,0.6719,0.7115
bicep_curl,140.77,94.01,124.5,148.11,0.4808,0.6721,0.6952
bicep_curl,141.77,95.61,123.98,149.0,0.4695,0.6709,0.6968
bicep_curl,141.56,92.2,122.89,148.28,0.4841,0.6697,0.6972
bicep_curl,138.45,94.9,126.49,150.33,0.4741,0.6361,0.6566
bicep_curl,135.8,90.43,128.77,153.35,0.4176,0.6263,0.6662
bicep_curl,134.96,88.5,128.09,153.03,0.4179,0.6273,0.6783
bicep_curl,134.8,88.36,127.7,153.01,0.4186,0.6334,0.6799
bicep_curl,133.89,89.01,128.47,151.19,0.4181,0.6406,0.6849
bicep_curl,124.91,91.12,126.75,144.8,0.3623,0.6569,0.7184
bicep_curl,122.97,85.52,124.92,141.67,0.348,0.6681,0.7143
bicep_curl,121.09,84.24,124.42,141.59,0.351,0.6748,0.7157
bicep_curl,117.77,81.94,125.85,141.29,0.3369,0.673,0.7098
bicep_curl,113.99,79.87,126.65,141.08,0.3263,0.6462,0.7119
bicep_curl,117.29,84.86,133.96,141.8,0.3036,0.6388,0.6941
bicep_curl,112.93,87.13,131.16,140.23,0.3044,0.635,0.6785
bicep_curl,113.45,87.54,131.51,142.77,0.3024,0.6368,0.6745
bicep_curl,117.13,92.05,134.07,145.88,0.2877,0.6436,0.6652
bicep_curl,117.43,95.92,137.61,142.37,0.294,0.5944,0.555
bicep_curl,120.04,94.93,139.05,148.23,0.2881,0.6153,0.5847
bicep_curl,118.65,97.69,140.5,148.57,0.2855,0.602,0.5545
bicep_curl,123.36,105.45,140.87,150.72,0.2888,0.6263,0.6305
bicep_curl,121.16,114.48,144.29,157.39,0.274,0.6466,0.6175
bicep_curl,117.07,114.98,143.19,158.86,0.2748,0.6434,0.5798
bicep_curl,106.85,111.95,147.39,159.14,0.2668,0.6295,0.5731
bicep_curl,108.87,110.62,147.06,158.47,0.2658,0.6323,0.5937
bicep_curl,115.47,116.65,144.12,158.06,0.2622,0.7048,0.7093
bicep_curl,116.1,111.94,137.41,155.57,0.2743,0.8029,0.7114
bicep_curl,121.79,106.99,132.66,148.04,0.2815,0.8295,0.7587
bicep_curl,127.07,116.91,132.95,146.63,0.2797,0.9428,0.8357
bicep_curl,122.55,130.74,135.08,146.32,0.2793,0.9406,0.9527
bicep_curl,118.68,132.25,138.14,148.12,0.2831,0.8908,0.9864
bicep_curl,112.04,134.07,144.05,152.15,0.2839,0.8993,0.9825
bicep_curl,104.1,134.18,145.75,153.88,0.2882,0.8361,0.9824
bicep_curl,102.91,136.49,144.77,155.23,0.2869,0.8534,1.0727
bicep_curl,102.02,133.49,143.85,155.85,0.2878,0.8485,1.033
bicep_curl,100.92,132.2,143.22,158.54,0.2865,0.8265,1.0183
bicep_curl,97.96,133.8,143.59,158.08,0.2818,0.8038,1.0025
bicep_curl,96.56,132.61,144.44,162.57,0.2776,0.7996,0.9902
bicep_curl,97.26,132.12,147.56,165.29,0.2757,0.7952,0.9781
bicep_curl,100.24,130.27,150.24,165.05,0.2743,0.7968,0.9712
bicep_curl,97.46,127.6,150.22,160.92,0.2731,0.7686,0.9797
bicep_curl,100.65,124.76,149.65,161.67,0.2704,0.7849,0.9671
bicep_curl,103.68,126.73,154.81,170.53,0.2489,0.7798,0.9769
bicep_curl,101.45,128.65,155.85,170.74,0.2471,0.754,0.9966
bicep_curl,95.76,129.9,152.46,165.23,0.2397,0.7055,0.9875
bicep_curl,99.14,128.0,152.01,172.41,0.2296,0.6922,0.938
bicep_curl,91.89,129.52,153.46,173.36,0.2294,0.6688,0.9671
bicep_curl,94.74,129.78,151.89,170.41,0.2264,0.6731,0.9634
bicep_curl,91.62,130.17,152.42,169.89,0.2243,0.6477,0.9708
bicep_curl,90.82,128.07,151.85,169.76,0.2234,0.6389,0.9546
bicep_curl,93.03,124.32,150.62,168.93,0.2218,0.6287,0.894
bicep_curl,95.85,125.76,148.55,169.16,0.2229,0.6482,0.9365
bicep_curl,98.72,123.34,151.23,170.77,0.2216,0.6668,0.8941
bicep_curl,98.03,125.09,149.56,170.92,0.2248,0.6618,0.9128
bicep_curl,93.89,125.83,149.78,171.35,0.2253,0.6367,0.9197
bicep_curl,96.97,126.64,149.29,171.07,0.2258,0.6458,0.9254
bicep_curl,108.07,121.9,148.52,170.11,0.2156,0.7139,0.8632
bicep_curl,109.63,122.21,148.77,169.48,0.213,0.7268,0.8718
bicep_curl,111.13,121.14,148.37,170.3,0.2112,0.7228,0.8623
bicep_curl,108.0,120.77,147.95,168.32,0.2125,0.707,0.8507
bicep_curl,107.56,120.16,146.63,167.98,0.2145,0.7038,0.8426
bicep_curl,105.09,121.73,146.16,168.18,0.2156,0.6896,0.8587
bicep_curl,103.31,121.92,144.89,167.25,0.2157,0.6807,0.862
bicep_curl,99.68,121.83,146.51,169.9,0.216,0.6502,0.881
bicep_curl,99.69,121.13,144.97,168.92,0.2201,0.6215,0.8976
bicep_curl,103.76,120.69,144.06,168.7,0.2234,0.6324,0.8953
bicep_curl,100.41,119.29,144.67,173.05,0.2201,0.6272,0.8663
bicep_curl,93.72,115.36,144.14,173.04,0.2168,0.5874,0.8087
bicep_curl,98.25,110.23,145.18,177.62,0.2163,0.6057,0.7296
bicep_curl,100.94,106.99,145.36,177.52,0.2146,0.6111,0.6994
bicep_curl,100.28,112.21,144.93,178.0,0.2156,0.6213,0.7374
bicep_curl,102.09,111.44,145.09,177.68,0.2149,0.623,0.7148
bicep_curl,103.23,103.35,145.22,178.22,0.2159,0.6195,0.6415
bicep_curl,104.79,103.67,145.17,178.65,0.2139,0.638,0.6156
bicep_curl,104.41,102.33,145.26,178.42,0.2122,0.6238,0.5966
bicep_curl,98.51,98.77,144.46,177.93,0.2104,0.603,0.5526
bicep_curl,98.76,97.29,144.15,175.56,0.2116,0.5964,0.5655
bicep_curl,119.99,95.57,143.0,170.69,0.2134,0.7545,0.489
bicep_curl,126.04,94.15,142.83,169.06,0.2126,0.8094,0.4645
bicep_curl,128.94,92.84,141.58,170.54,0.2108,0.8478,0.4598
bicep_curl,132.2,91.35,140.63,170.12,0.2104,0.8756,0.4647
bicep_curl,130.67,93.17,140.84,170.16,0.2123,0.8696,0.4786
bicep_curl,127.57,96.14,142.58,173.37,0.2138,0.8295,0.4833
bicep_curl,126.59,99.37,142.77,172.5,0.2191,0.835,0.4859
bicep_curl,124.36,97.43,142.13,170.29,0.2186,0.7982,0.5038
bicep_curl,125.26,99.57,142.24,168.93,0.2187,0.8024,0.4878
bicep_curl,125.47,98.7,141.83,168.37,0.2182,0.8085,0.4953
bicep_curl,125.88,97.48,141.46,170.2,0.2215,0.818,0.4984
bicep_curl,125.78,97.16,142.57,171.33,0.2213,0.8162,0.5034
bicep_curl,127.25,97.27,141.45,171.0,0.2216,0.8301,0.5013
bicep_curl,127.0,96.87,141.57,172.31,0.2212,0.8352,0.5046
bicep_curl,126.91,97.64,140.42,172.49,0.2228,0.8307,0.5062
bicep_curl,127.51,97.74,139.72,172.46,0.221,0.8244,0.5053
bicep_curl,124.86,100.37,141.94,173.6,0.2194,0.7833,0.5015
bicep_curl,122.61,100.65,144.85,172.55,0.2152,0.7612,0.5033
bicep_curl,131.24,100.69,143.24,170.21,0.213,0.8147,0.496
bicep_curl,133.41,100.05,143.44,166.41,0.2114,0.8122,0.4789
